Year Day	Temperature C	SalinityConst	pHConstSal	Battery Voltage	DateStr	TimeStr
205.0833	21.73	35.00	8.1941	11.67	2024-07-23	02:00:01
205.1250	21.70	35.00	8.1071	11.67	2024-07-23	03:00:01
205.1667	21.70	35.00	8.0683	11.67	2024-07-23	04:00:01
205.2083	21.71	35.00	8.1361	11.67	2024-07-23	05:00:01
205.2500	21.67	35.00	8.2677	11.67	2024-07-23	06:00:01
205.2917	21.67	35.00	8.0263	11.67	2024-07-23	07:00:01
205.3333	21.65	35.00	8.1986	11.67	2024-07-23	08:00:01
205.3750	21.62	35.00	8.1668	11.67	2024-07-23	09:00:01
205.4167	21.60	35.00	8.0801	11.67	2024-07-23	10:00:01
205.4583	21.59	35.00	8.1622	11.67	2024-07-23	11:00:01
205.5000	21.54	35.00	8.2585	11.67	2024-07-23	12:00:01
205.5417	21.50	35.00	8.0469	11.67	2024-07-23	13:00:01
205.5833	21.49	35.00	8.2121	11.67	2024-07-23	14:00:01
205.6250	21.46	35.00	8.3417	11.67	2024-07-23	15:00:01
205.6667	21.43	35.00	7.9257	11.67	2024-07-23	16:00:01
205.7083	21.45	35.00	8.3068	11.67	2024-07-23	17:00:01
205.7500	21.42	35.00	8.2174	11.66	2024-07-23	18:00:01
205.7917	21.43	35.00	8.2031	11.66	2024-07-23	19:00:01
205.8333	21.42	35.00	7.9997	11.66	2024-07-23	20:00:01
205.8750	21.42	35.00	8.2179	11.66	2024-07-23	21:00:01
205.9167	21.43	35.00	8.1843	11.66	2024-07-23	22:00:01
205.9583	21.46	35.00	8.1139	11.66	2024-07-23	23:00:01
206.0000	21.46	35.00	8.1712	11.66	2024-07-24	00:00:01
206.0417	21.48	35.00	8.1901	11.66	2024-07-24	01:00:01
206.0833	21.48	35.00	8.1165	11.66	2024-07-24	02:00:01
206.1250	21.50	35.00	8.1305	11.66	2024-07-24	03:00:01
206.1667	21.48	35.00	8.2052	11.66	2024-07-24	04:00:01
206.2083	21.48	35.00	8.1937	11.66	2024-07-24	05:00:01
206.2500	21.48	35.00	8.1696	11.66	2024-07-24	06:00:01
206.2917	21.45	35.00	8.1540	11.66	2024-07-24	07:00:01
206.3333	21.44	35.00	8.2810	11.66	2024-07-24	08:00:01
206.3750	21.41	35.00	8.0757	11.66	2024-07-24	09:00:01
206.4167	21.37	35.00	8.1448	11.66	2024-07-24	10:00:01
206.4583	21.34	35.00	8.2038	11.66	2024-07-24	11:00:01
206.5000	21.33	35.00	8.0727	11.66	2024-07-24	12:00:01
206.5417	21.29	35.00	8.1344	11.66	2024-07-24	13:00:01
206.5833	21.29	35.00	8.1578	11.66	2024-07-24	14:00:01
206.6250	21.27	35.00	8.1166	11.66	2024-07-24	15:00:01
206.6667	21.21	35.00	8.1163	11.66	2024-07-24	16:00:01
206.7083	21.24	35.00	8.2216	11.66	2024-07-24	17:00:01
206.7500	21.24	35.00	8.2172	11.66	2024-07-24	18:00:01
206.7917	21.22	35.00	8.2077	11.66	2024-07-24	19:00:01
206.8333	21.27	35.00	8.1969	11.66	2024-07-24	20:00:01
