Year Day	Temperature C	SalinityConst	pHConstSal	Battery Voltage	DateStr	TimeStr
193.7917	21.29	35.00	8.6999	11.55	2024-07-11	19:00:02
193.8334	21.28	35.00	8.6529	11.55	2024-07-11	20:00:02
193.8750	21.29	35.00	8.9208	11.54	2024-07-11	21:00:02
193.9167	21.32	35.00	8.6815	11.54	2024-07-11	22:00:02
193.9584	21.35	35.00	8.6804	11.54	2024-07-11	23:00:02
194.0000	21.37	35.00	8.6238	11.54	2024-07-12	00:00:02
194.0417	21.37	35.00	8.6654	11.53	2024-07-12	01:00:02
194.0834	21.40	35.00	8.7110	11.54	2024-07-12	02:00:02
194.1250	21.41	35.00	8.6254	11.53	2024-07-12	03:00:02
194.1667	21.42	35.00	8.7111	11.54	2024-07-12	04:00:02
194.2084	21.42	35.00	8.7390	11.55	2024-07-12	05:00:02
194.2500	21.42	35.00	8.7074	11.55	2024-07-12	06:00:02
194.2917	21.38	35.00	8.7078	11.55	2024-07-12	07:00:02
194.3334	21.37	35.00	8.6651	11.55	2024-07-12	08:00:02
194.3750	21.35	35.00	8.6358	11.55	2024-07-12	09:00:02
194.4167	21.34	35.00	8.7216	11.55	2024-07-12	10:00:02
194.4584	21.31	35.00	8.6447	11.56	2024-07-12	11:00:02
194.5000	21.28	35.00	8.6410	11.56	2024-07-12	12:00:02
194.5417	21.25	35.00	8.6522	11.56	2024-07-12	13:00:02
194.5834	21.24	35.00	8.6082	11.56	2024-07-12	14:00:02
194.6250	21.19	35.00	8.6441	11.56	2024-07-12	15:00:02
194.6667	21.20	35.00	8.5958	11.56	2024-07-12	16:00:02
194.7084	21.18	35.00	8.5872	11.56	2024-07-12	17:00:02
194.7500	21.18	35.00	0.0021	11.55	2024-07-12	18:00:02
194.7917	21.17	35.00	8.6035	11.55	2024-07-12	19:00:02
194.8334	21.18	35.00	8.5867	11.59	2024-07-12	20:00:02
194.8750	21.22	35.00	8.6351	11.58	2024-07-12	21:00:02
194.9167	21.26	35.00	8.6491	11.58	2024-07-12	22:00:02
194.9584	21.28	35.00	8.6314	11.58	2024-07-12	23:00:02
195.0000	21.31	35.00	8.6385	11.58	2024-07-13	00:00:02
195.0417	21.33	35.00	8.5978	11.58	2024-07-13	01:00:02
195.0834	21.34	35.00	8.6948	11.58	2024-07-13	02:00:02
195.1250	21.36	35.00	8.6556	11.58	2024-07-13	03:00:02
195.1667	21.39	35.00	8.6323	11.58	2024-07-13	04:00:02
195.2084	21.40	35.00	8.6237	11.58	2024-07-13	05:00:02
195.2500	21.38	35.00	0.0021	11.58	2024-07-13	06:00:02
195.2917	21.40	35.00	8.5658	11.58	2024-07-13	07:00:02
195.3334	21.38	35.00	0.0021	11.58	2024-07-13	08:00:02
195.3750	21.38	35.00	8.5936	11.58	2024-07-13	09:00:02
195.4167	21.38	35.00	8.6523	11.58	2024-07-13	10:00:02
195.4584	21.34	35.00	8.6057	11.58	2024-07-13	11:00:02
195.5000	21.35	35.00	8.5960	11.58	2024-07-13	12:00:02
195.5417	21.31	35.00	8.6603	11.58	2024-07-13	13:00:02
195.5834	21.30	35.00	8.6232	11.58	2024-07-13	14:00:02
195.6250	21.29	35.00	8.5908	11.58	2024-07-13	15:00:02
195.6667	21.28	35.00	8.6129	11.57	2024-07-13	16:00:02
195.7084	21.27	35.00	0.0023	11.57	2024-07-13	17:00:02
195.7500	21.27	35.00	8.5688	11.57	2024-07-13	18:00:02
195.7917	21.28	35.00	8.5621	11.58	2024-07-13	19:00:02
195.8334	21.31	35.00	8.5954	11.57	2024-07-13	20:00:02
195.8750	21.32	35.00	8.5283	11.57	2024-07-13	21:00:02
195.9167	21.35	35.00	8.5200	11.58	2024-07-13	22:00:02
195.9584	21.38	35.00	8.6134	11.57	2024-07-13	23:00:02
196.0000	21.39	35.00	8.5772	11.57	2024-07-14	00:00:02
196.0417	21.44	35.00	8.5474	11.58	2024-07-14	01:00:02
196.0834	21.46	35.00	8.5202	11.58	2024-07-14	02:00:02
196.1250	21.47	35.00	8.5374	11.58	2024-07-14	03:00:02
196.1667	21.51	35.00	8.5744	11.58	2024-07-14	04:00:02
196.2084	21.50	35.00	8.5155	11.58	2024-07-14	05:00:02
196.2500	21.51	35.00	8.5234	11.58	2024-07-14	06:00:02
196.2917	21.53	35.00	8.5367	11.58	2024-07-14	07:00:02
196.3334	21.52	35.00	8.5185	11.58	2024-07-14	08:00:02
196.3750	21.50	35.00	8.5936	11.58	2024-07-14	09:00:02
196.4167	21.48	35.00	8.5505	11.58	2024-07-14	10:00:02
196.4584	21.46	35.00	8.5203	11.58	2024-07-14	11:00:02
196.5000	21.47	35.00	8.4496	11.58	2024-07-14	12:00:02
196.5417	21.44	35.00	8.5615	11.58	2024-07-14	13:00:02
196.5834	21.46	35.00	8.4993	11.58	2024-07-14	14:00:02
196.6250	21.44	35.00	8.5118	11.58	2024-07-14	15:00:02
196.6667	21.44	35.00	8.5116	11.58	2024-07-14	16:00:02
196.7084	21.41	35.00	8.5226	11.58	2024-07-14	17:00:02
196.7500	21.45	35.00	0.0019	11.58	2024-07-14	18:00:02
196.7917	21.44	35.00	0.0020	11.59	2024-07-14	19:00:02
196.8334	21.46	35.00	8.5484	11.59	2024-07-14	20:00:02
196.8750	21.48	35.00	8.5537	11.58	2024-07-14	21:00:02
196.9167	21.48	35.00	8.5539	11.58	2024-07-14	22:00:02
196.9584	21.53	35.00	8.4869	11.58	2024-07-14	23:00:02
197.0000	21.55	35.00	8.4655	11.58	2024-07-15	00:00:02
197.0417	21.60	35.00	8.4823	11.58	2024-07-15	01:00:02
197.0834	21.61	35.00	8.4655	11.59	2024-07-15	02:00:02
197.1250	21.63	35.00	8.4801	11.59	2024-07-15	03:00:02
197.1667	21.63	35.00	8.4725	11.58	2024-07-15	04:00:02
197.2084	21.66	35.00	8.4872	11.58	2024-07-15	05:00:02
197.2500	21.67	35.00	0.0018	11.58	2024-07-15	06:00:02
197.2917	21.65	35.00	8.4992	11.58	2024-07-15	07:00:02
197.3334	21.63	35.00	8.2501	11.58	2024-07-15	08:00:02
197.3750	21.60	35.00	8.4992	11.58	2024-07-15	09:00:02
197.4167	21.60	35.00	8.7343	11.58	2024-07-15	10:00:02
197.4584	21.58	35.00	8.4477	11.58	2024-07-15	11:00:02
197.5000	21.57	35.00	8.4517	11.58	2024-07-15	12:00:02
197.5417	21.55	35.00	8.4847	11.57	2024-07-15	13:00:02
197.5834	21.53	35.00	8.4769	11.57	2024-07-15	14:00:02
197.6250	21.52	35.00	8.4648	11.57	2024-07-15	15:00:02
197.6667	21.50	35.00	8.4251	11.57	2024-07-15	16:00:02
197.7084	21.47	35.00	8.4313	11.55	2024-07-15	17:00:02
197.7500	21.48	35.00	8.3446	11.57	2024-07-15	18:00:02
197.7917	21.49	35.00	8.4811	11.56	2024-07-15	19:00:02
197.8334	21.50	35.00	8.4617	11.56	2024-07-15	20:00:02
197.8750	21.47	35.00	8.4273	11.56	2024-07-15	21:00:02
197.9167	21.50	35.00	8.4721	11.56	2024-07-15	22:00:02
197.9584	21.50	35.00	8.4399	11.53	2024-07-15	23:00:02
198.0000	21.50	35.00	8.4666	11.54	2024-07-16	00:00:02
198.0417	21.53	35.00	8.4136	11.54	2024-07-16	01:00:02
198.0834	21.53	35.00	8.4158	11.54	2024-07-16	02:00:02
198.1250	21.55	35.00	8.4293	11.53	2024-07-16	03:00:02
198.1667	21.57	35.00	8.4198	11.54	2024-07-16	04:00:02
198.2084	21.55	35.00	8.4715	11.54	2024-07-16	05:00:02
198.2500	21.56	35.00	8.4265	11.54	2024-07-16	06:00:02
198.2917	21.54	35.00	8.4161	11.54	2024-07-16	07:00:02
198.3334	21.49	35.00	8.4482	11.55	2024-07-16	08:00:02
198.3750	21.49	35.00	8.4132	11.54	2024-07-16	09:00:02
198.4167	21.46	35.00	0.0023	11.54	2024-07-16	10:00:02
198.4584	21.43	35.00	8.4567	11.54	2024-07-16	11:00:02
