FrameSync,DateTime (UTC-07:00),Temperature (Celsius),Conductivity (uS/cm),Pressure (Decibar),Oxygen (mg/L),pH (pH),Chlorophyll (ug/l),Turbidity (NTU),Chlorophyll StdDev (ug/l),Turbidity StdDev (NTU),Salinity (psu),Sound Velocity (m/sec),Spec Conductivity (uS/cm),Oxygen Sat (%),Date,Time (UTC-07:00),Sample Number,Event Flags
HCEP03730715,06/26/2024 15:32:00,  19.3514,  42886.9,    0.752,  7.331,8.03,21.829,1421.993,0.85,4.37,  31.3960, 1515.630,  48349.0,    95.87, 26 Jun 2024, 15:32:00, 266, 0
HCEP03730715,06/26/2024 16:32:00,  19.3665,  42903.0,    0.753,  7.272,8.03,21.544,1416.227,0.83,4.10,  31.3977, 1515.675,  48350.7,    95.14, 26 Jun 2024, 16:32:00, 267, 0
HCEP03730715,06/26/2024 17:32:00,  19.3835,  42920.4,    0.755,  7.226,8.03,21.354,1416.521,0.80,4.31,  31.3992, 1515.725,  48351.8,    94.56, 26 Jun 2024, 17:32:00, 268, 0
HCEP03730715,06/26/2024 18:32:00,  19.3986,  42936.0,    0.752,  7.262,8.03,20.523,1414.684,0.52,3.72,  31.4005, 1515.770,  48352.9,    95.06, 26 Jun 2024, 18:32:00, 269, 0
HCEP03730715,06/26/2024 19:32:00,  19.4089,  42947.4,    0.752,  7.260,8.03,20.176,1413.554,0.42,4.20,  31.4021, 1515.801,  48354.5,    95.05, 26 Jun 2024, 19:32:00, 270, 0
HCEP03730715,06/26/2024 20:32:00,  19.4180,  42957.6,    0.753,  7.284,8.03,19.938,1412.351,0.45,4.90,  31.4036, 1515.828,  48356.1,    95.38, 26 Jun 2024, 20:32:00, 271, 0
HCEP03730715,06/26/2024 21:32:00,  19.4247,  42965.6,    0.754,  7.328,8.03,19.760,1411.587,0.42,3.95,  31.4050, 1515.849,  48357.7,    95.98, 26 Jun 2024, 21:32:00, 272, 0
HCEP03730715,06/26/2024 22:32:00,  19.4294,  42971.6,    0.755,  7.284,8.03,19.605,1412.393,0.39,3.16,  31.4065, 1515.864,  48359.4,    95.40, 26 Jun 2024, 22:32:00, 273, 0
HCEP03730715,06/26/2024 23:32:00,  19.4332,  42977.0,    0.754,  7.285,8.03,19.401,1410.604,0.37,3.60,  31.4080, 1515.876,  48361.4,    95.42, 26 Jun 2024, 23:32:00, 274, 0
HCEP03730715,06/27/2024 00:32:00,  19.4350,  42980.8,    0.751,  7.296,8.03,19.166,1402.962,0.38,4.84,  31.4098, 1515.883,  48363.7,    95.58, 27 Jun 2024, 00:32:00, 275, 0
HCEP03730715,06/27/2024 01:32:00,  19.4368,  42983.8,    0.753,  7.298,8.03,19.076,1408.596,0.37,3.64,  31.4108, 1515.890,  48365.1,    95.60, 27 Jun 2024, 01:32:00, 276, 0
HCEP03730715,06/27/2024 02:32:00,  19.4382,  42987.5,    0.751,  7.276,8.03,18.946,1408.449,0.35,2.90,  31.4128, 1515.896,  48367.8,    95.32, 27 Jun 2024, 02:32:00, 277, 0
HCEP03730715,06/27/2024 03:32:00,  19.4378,  42989.0,    0.751,  7.305,8.03,18.732,1407.804,0.35,3.32,  31.4143, 1515.896,  48369.9,    95.71, 27 Jun 2024, 03:32:00, 278, 0
HCEP03730715,06/27/2024 04:32:00,  19.4349,  42988.1,    0.754,  7.293,8.03,18.594,1405.564,0.35,3.60,  31.4158, 1515.890,  48372.0,    95.54, 27 Jun 2024, 04:32:00, 279, 0
HCEP03730715,06/27/2024 05:32:00,  19.4294,  42985.5,    0.754,  7.335,8.03,18.465,1405.917,0.33,4.71,  31.4178, 1515.876,  48375.1,    96.08, 27 Jun 2024, 05:32:00, 280, 0
HCEP03730715,06/27/2024 06:32:00,  19.4246,  42983.3,    0.756,  7.285,8.03,18.306,1404.056,0.34,1.99,  31.4196, 1515.865,  48377.8,    95.42, 27 Jun 2024, 06:32:00, 281, 0
HCEP03730715,06/27/2024 07:32:00,  19.4197,  42980.8,    0.756,  7.268,8.03,18.107,1405.785,0.27,4.49,  31.4212, 1515.853,  48380.3,    95.19, 27 Jun 2024, 07:32:00, 282, 0
HCEP03730715,06/27/2024 08:32:00,  19.4167,  42979.9,    0.756,  7.344,8.03,18.412,1404.583,0.46,2.95,  31.4227, 1515.846,  48382.5,    96.17, 27 Jun 2024, 08:32:00, 283, 0
HCEP03730715,06/27/2024 09:32:00,  19.4127,  42978.2,    0.759,  7.324,8.03,18.400,1402.565,0.55,3.60,  31.4244, 1515.836,  48385.0,    95.91, 27 Jun 2024, 09:32:00, 284, 0
HCEP03730715,06/27/2024 10:32:00,  19.4118,  42979.7,    0.760,  7.290,8.03,18.211,1400.606,0.48,2.77,  31.4263, 1515.836,  48387.7,    95.47, 27 Jun 2024, 10:32:00, 285, 0
HCEP03730715,06/27/2024 11:32:00,  19.4165,  42986.1,    0.763,  7.291,8.03,18.163,1401.220,0.51,3.25,  31.4280, 1515.852,  48389.8,    95.48, 27 Jun 2024, 11:32:00, 286, 0
HCEP03730715,06/27/2024 12:32:00,  19.4276,  42997.8,    0.766,  7.314,8.03,18.018,1395.922,0.49,4.36,  31.4291, 1515.884,  48390.8,    95.81, 27 Jun 2024, 12:32:00, 287, 0
HCEP03730715,06/27/2024 13:32:00,  19.4394,  43010.9,    0.771,  7.301,8.03,17.898,1399.000,0.51,3.78,  31.4309, 1515.920,  48392.7,    95.66, 27 Jun 2024, 13:32:00, 288, 0
HCEP03730715,06/27/2024 14:32:00,  19.4476,  43020.4,    0.773,  7.303,8.03,17.752,1394.231,0.51,4.63,  31.4325, 1515.945,  48394.5,    95.71, 27 Jun 2024, 14:32:00, 289, 0
HCEP03730715,06/27/2024 15:32:00,  19.4552,  43029.3,    0.777,  7.321,8.03,17.658,1396.300,0.50,3.66,  31.4342, 1515.969,  48396.3,    95.95, 27 Jun 2024, 15:32:00, 290, 0
HCEP03730715,06/27/2024 16:32:00,  19.4609,  43036.2,    0.778,  7.357,8.03,17.491,1394.025,0.47,3.32,  31.4355, 1515.986,  48397.9,    96.43, 27 Jun 2024, 16:32:00, 291, 0
HCEP03730715,06/27/2024 17:32:00,  19.4639,  43041.7,    0.774,  7.319,8.03,17.436,1395.176,0.48,3.37,  31.4377, 1515.997,  48400.7,    95.95, 27 Jun 2024, 17:32:00, 292, 0
HCEP03730715,06/27/2024 18:32:00,  19.4671,  43046.6,    0.775,  7.330,8.03,17.246,1394.243,0.44,3.54,  31.4393, 1516.008,  48402.8,    96.09, 27 Jun 2024, 18:32:00, 293, 0
HCEP03730715,06/27/2024 19:32:00,  19.4681,  43049.8,    0.775,  7.366,8.03,17.219,1395.789,0.43,3.28,  31.4411, 1516.013,  48405.3,    96.57, 27 Jun 2024, 19:32:00, 294, 0
HCEP03730715,06/27/2024 20:32:00,  19.4666,  43051.0,    0.777,  7.305,8.03,17.042,1391.728,0.42,6.62,  31.4433, 1516.011,  48408.3,    95.77, 27 Jun 2024, 20:32:00, 295, 0
HCEP03730715,06/27/2024 21:32:00,  19.4624,  43049.9,    0.775,  7.346,8.04,16.957,1393.209,0.39,3.78,  31.4455, 1516.002,  48411.6,    96.29, 27 Jun 2024, 21:32:00, 296, 0
HCEP03730715,06/27/2024 22:32:00,  19.4559,  43045.9,    0.777,  7.394,8.04,16.525,1392.933,0.30,4.76,  31.4471, 1515.985,  48414.2,    96.92, 27 Jun 2024, 22:32:00, 297, 0
HCEP03730715,06/27/2024 23:32:00,  19.4459,  43039.8,    0.778,  7.297,8.04,16.326,1394.769,0.23,3.99,  31.4497, 1515.960,  48418.2,    95.63, 27 Jun 2024, 23:32:00, 298, 0
HCEP03730715,06/28/2024 00:32:00,  19.4353,  43032.5,    0.780,  7.350,8.04,16.163,1393.996,0.21,3.85,  31.4517, 1515.932,  48421.6,    96.31, 28 Jun 2024, 00:32:00, 299, 0
HCEP03730715,06/28/2024 01:32:00,  19.4222,  43023.0,    0.778,  7.370,8.04,16.061,1394.784,0.25,4.11,  31.4538, 1515.897,  48425.1,    96.54, 28 Jun 2024, 01:32:00, 300, 0
HCEP03730715,06/28/2024 02:32:00,  19.4082,  43012.8,    0.776,  7.347,8.04,15.961,1391.708,0.20,3.62,  31.4560, 1515.860,  48428.9,    96.23, 28 Jun 2024, 02:32:00, 301, 0
HCEP03730715,06/28/2024 03:32:00,  19.3941,  43002.1,    0.773,  7.381,8.04,15.859,1394.696,0.21,3.91,  31.4579, 1515.822,  48432.2,    96.65, 28 Jun 2024, 03:32:00, 302, 0
HCEP03730715,06/28/2024 04:32:00,  19.3828,  42993.8,    0.776,  7.397,8.04,15.729,1391.695,0.20,4.84,  31.4596, 1515.791,  48435.2,    96.84, 28 Jun 2024, 04:32:00, 303, 0
HCEP03730715,06/28/2024 05:32:00,  19.3698,  42983.7,    0.778,  7.335,8.04,15.686,1395.352,0.19,3.97,  31.4612, 1515.756,  48438.0,    96.00, 28 Jun 2024, 05:32:00, 304, 0
HCEP03730715,06/28/2024 06:32:00,  19.3585,  42977.3,    0.776,  7.319,8.04,15.833,1388.624,0.33,4.99,  31.4645, 1515.728,  48443.1,    95.78, 28 Jun 2024, 06:32:00, 305, 0
HCEP03730715,06/28/2024 07:32:00,  19.3488,  42970.4,    0.779,  7.385,8.04,15.832,1394.988,0.30,3.76,  31.4662, 1515.702,  48446.0,    96.62, 28 Jun 2024, 07:32:00, 306, 0
HCEP03730715,06/28/2024 08:32:00,  19.3382,  42962.6,    0.781,  7.344,8.04,15.733,1389.816,0.33,4.49,  31.4678, 1515.673,  48448.7,    96.06, 28 Jun 2024, 08:32:00, 307, 0
HCEP03730715,06/28/2024 09:32:00,  19.3293,  42956.5,    0.777,  7.371,8.04,15.681,1393.996,0.34,3.93,  31.4695, 1515.650,  48451.6,    96.41, 28 Jun 2024, 09:32:00, 308, 0
HCEP03730715,06/28/2024 10:32:00,  19.3250,  42955.3,    0.779,  7.372,8.04,15.566,1392.276,0.35,3.54,  31.4718, 1515.640,  48454.9,    96.41, 28 Jun 2024, 10:32:00, 309, 0
HCEP03730715,06/28/2024 11:32:00,  19.3255,  42957.9,    0.782,  7.341,8.04,15.502,1392.465,0.31,3.70,  31.4735, 1515.644,  48457.4,    96.00, 28 Jun 2024, 11:32:00, 310, 0
HCEP03730715,06/28/2024 12:32:00,  19.3298,  42963.8,    0.783,  7.102,8.04,19.614,2688.146,0.66,5.84,  31.4751, 1515.658,  48459.3,    92.88, 28 Jun 2024, 12:32:00, 311, 0
HCEP03730715,06/28/2024 13:32:00,  19.3401,  42975.6,    0.783,  7.035,8.04,18.949,2691.439,0.42,3.60,  31.4770, 1515.689,  48461.3,    92.03, 28 Jun 2024, 13:32:00, 312, 0
HCEP03730715,06/28/2024 14:00:00,  19.3472,  42983.4,    0.779,  7.601,8.05,18.515,2684.135,0.23,5.15,  31.4779, 1515.711,  48462.3,    99.44, 28 Jun 2024, 14:00:00, 313, 0
HCEP03730715,06/28/2024 15:00:00,  19.3670,  43003.3,    0.774,  7.063,8.04,18.379,2688.365,0.33,4.41,  31.4793, 1515.768,  48463.2,    92.44, 28 Jun 2024, 15:00:00, 314, 0
HCEP03730715,06/28/2024 16:00:00,  19.3897,  43026.2,    0.771,  7.032,8.04,18.124,2678.633,0.27,7.56,  31.4809, 1515.835,  48464.1,    92.08, 28 Jun 2024, 16:00:00, 315, 0
HCEP03730715,06/28/2024 17:00:00,  19.4169,  43052.3,    0.770,  7.017,8.04,17.925,2685.192,0.30,4.20,  31.4817, 1515.913,  48463.9,    91.93, 28 Jun 2024, 17:00:00, 316, 0
HCEP03730715,06/28/2024 18:00:00,  19.4427,  43078.7,    0.769,  7.007,8.04,17.614,2673.953,0.22,8.37,  31.4838, 1515.989,  48465.5,    91.84, 28 Jun 2024, 18:00:00, 317, 0
HCEP03730715,06/28/2024 19:00:00,  19.4614,  43097.7,    0.765,  7.006,8.04,17.300,2680.326,0.18,4.73,  31.4852, 1516.043,  48466.3,    91.87, 28 Jun 2024, 19:00:00, 318, 0
HCEP03730715,06/28/2024 20:00:00,  19.4763,  43112.8,    0.765,  6.994,8.04,17.117,2670.506,0.14,7.07,  31.4863, 1516.087,  48467.2,    91.73, 28 Jun 2024, 20:00:00, 319, 0
HCEP03730715,06/28/2024 21:00:00,  19.4872,  43125.1,    0.765,  6.986,8.04,16.903,2677.913,0.14,4.34,  31.4881, 1516.120,  48469.1,    91.64, 28 Jun 2024, 21:00:00, 320, 0
HCEP03730715,06/28/2024 22:00:00,  19.4908,  43130.5,    0.768,  6.993,8.04,16.344,2610.616,0.11,10.71,  31.4898, 1516.132,  48471.2,    91.74, 28 Jun 2024, 22:00:00, 321, 0
HCEP03730715,06/28/2024 23:00:00,  19.4883,  43130.5,    0.768,  6.984,8.04,15.966,2630.963,0.09,3.68,  31.4918, 1516.127,  48474.1,    91.63, 28 Jun 2024, 23:00:00, 322, 0
HCEP03730715,06/29/2024 00:00:00,  19.4840,  43129.1,    0.767,  6.979,8.04,15.558,2582.830,0.08,9.01,  31.4938, 1516.117,  48477.1,    91.55, 29 Jun 2024, 00:00:00, 323, 0
HCEP03730715,06/29/2024 01:00:00,  19.4782,  43126.1,    0.768,  6.974,8.04,15.371,2607.219,0.09,3.91,  31.4958, 1516.103,  48480.1,    91.48, 29 Jun 2024, 01:00:00, 324, 0
HCEP03730715,06/29/2024 02:00:00,  19.4714,  43121.9,    0.768,  6.976,8.04,15.172,2586.398,0.10,5.64,  31.4974, 1516.085,  48482.7,    91.49, 29 Jun 2024, 02:00:00, 325, 0
HCEP03730715,06/29/2024 03:00:00,  19.4660,  43119.4,    0.769,  6.972,8.04,15.041,2596.003,0.09,4.20,  31.4994, 1516.072,  48485.8,    91.43, 29 Jun 2024, 03:00:00, 326, 0
HCEP03730715,06/29/2024 04:00:00,  19.4591,  43115.2,    0.767,  6.986,8.04,14.904,2582.396,0.09,6.18,  31.5012, 1516.055,  48488.5,    91.61, 29 Jun 2024, 04:00:00, 327, 0
HCEP03730715,06/29/2024 05:00:00,  19.4502,  43109.3,    0.766,  6.985,8.04,14.800,2590.971,0.10,4.20,  31.5031, 1516.032,  48491.7,    91.58, 29 Jun 2024, 05:00:00, 328, 0
HCEP03730715,06/29/2024 06:00:00,  19.4416,  43103.5,    0.768,  6.978,8.04,14.671,2573.575,0.09,6.18,  31.5049, 1516.009,  48494.5,    91.48, 29 Jun 2024, 06:00:00, 329, 0
HCEP03730715,06/29/2024 07:00:00,  19.4311,  43096.0,    0.768,  6.988,8.04,14.529,2585.042,0.10,4.13,  31.5067, 1515.981,  48497.6,    91.58, 29 Jun 2024, 07:00:00, 330, 0
HCEP03730715,06/29/2024 08:00:00,  19.4219,  43089.5,    0.769,  6.984,8.04,14.412,2571.422,0.09,7.28,  31.5083, 1515.957,  48500.2,    91.52, 29 Jun 2024, 08:00:00, 331, 0
HCEP03730715,06/29/2024 09:00:00,  19.4183,  43088.9,    0.773,  6.967,8.04,14.282,2579.530,0.11,3.34,  31.5106, 1515.949,  48503.6,    91.30, 29 Jun 2024, 09:00:00, 332, 0
HCEP03730715,06/29/2024 10:00:00,  19.4195,  43091.7,    0.773,  6.981,8.04,13.973,2518.142,0.08,8.08,  31.5119, 1515.954,  48505.4,    91.47, 29 Jun 2024, 10:00:00, 333, 0
HCEP03730715,06/29/2024 11:00:00,  19.4287,  43102.0,    0.776,  6.983,8.04,13.616,2528.311,0.06,2.87,  31.5134, 1515.982,  48506.9,    91.52, 29 Jun 2024, 11:00:00, 334, 0
HCEP03730715,06/29/2024 12:00:00,  19.4379,  43112.8,    0.775,  6.987,8.04,13.167,2454.433,0.05,7.71,  31.5153, 1516.010,  48509.1,    91.58, 29 Jun 2024, 12:00:00, 335, 0
HCEP03730715,06/29/2024 13:00:00,  19.4493,  43125.2,    0.777,  6.981,8.04,12.965,2477.509,0.05,2.97,  31.5168, 1516.044,  48510.6,    91.53, 29 Jun 2024, 13:00:00, 336, 0
HCEP03730715,06/29/2024 14:00:00,  19.4631,  43139.9,    0.775,  6.988,8.04,12.699,2421.951,0.05,9.11,  31.5184, 1516.085,  48512.0,    91.65, 29 Jun 2024, 14:00:00, 337, 0
HCEP03730715,06/29/2024 15:00:00,  19.4820,  43159.2,    0.775,  6.967,8.04,12.609,2447.242,0.06,2.97,  31.5199, 1516.141,  48513.1,    91.40, 29 Jun 2024, 15:00:00, 338, 0
HCEP03730715,06/29/2024 16:00:00,  19.5050,  43182.1,    0.776,  6.980,8.04,12.511,2424.313,0.06,7.32,  31.5212, 1516.207,  48513.7,    91.62, 29 Jun 2024, 16:00:00, 339, 0
HCEP03730715,06/29/2024 17:00:00,  19.5286,  43205.1,    0.778,  6.968,8.04,12.429,2433.184,0.08,4.54,  31.5222, 1516.275,  48513.9,    91.50, 29 Jun 2024, 17:00:00, 340, 0
HCEP03730715,06/29/2024 18:00:00,  19.5583,  43233.1,    0.778,  6.988,8.04,12.396,2424.502,0.07,6.69,  31.5225, 1516.360,  48512.9,    91.81, 29 Jun 2024, 18:00:00, 341, 0
HCEP03730715,06/29/2024 19:00:00,  19.5850,  43259.2,    0.779,  6.980,8.04,12.308,2428.086,0.09,4.13,  31.5237, 1516.437,  48513.1,    91.75, 29 Jun 2024, 19:00:00, 342, 0
HCEP03730715,06/29/2024 20:00:00,  19.6122,  43285.7,    0.780,  6.966,8.04,12.269,2421.681,0.08,6.99,  31.5248, 1516.515,  48513.3,    91.61, 29 Jun 2024, 20:00:00, 343, 0
HCEP03730715,06/29/2024 21:00:00,  19.6362,  43309.2,    0.785,  6.970,8.04,12.170,2423.470,0.09,4.13,  31.5258, 1516.584,  48513.5,    91.70, 29 Jun 2024, 21:00:00, 344, 0
HCEP03730715,06/29/2024 22:00:00,  19.6551,  43327.8,    0.788,  6.956,8.04,12.122,2413.548,0.07,7.03,  31.5267, 1516.639,  48513.8,    91.55, 29 Jun 2024, 22:00:00, 345, 0
HCEP03730715,06/29/2024 23:00:00,  19.6722,  43344.9,    0.787,  6.965,8.04,12.030,2421.297,0.08,4.47,  31.5277, 1516.688,  48514.4,    91.71, 29 Jun 2024, 23:00:00, 346, 0
HCEP03730715,06/30/2024 00:00:00,  19.6876,  43361.1,    0.787,  6.964,8.04,11.961,2409.667,0.07,7.11,  31.5293, 1516.733,  48515.8,    91.72, 30 Jun 2024, 00:00:00, 347, 0
HCEP03730715,06/30/2024 01:00:00,  19.7035,  43377.2,    0.784,  6.946,8.04,11.863,2414.154,0.08,4.41,  31.5305, 1516.779,  48516.6,    91.51, 30 Jun 2024, 01:00:00, 348, 0
HCEP03730715,06/30/2024 02:00:00,  19.7208,  43394.1,    0.783,  6.957,8.04,11.815,2404.250,0.07,7.82,  31.5312, 1516.829,  48516.7,    91.69, 30 Jun 2024, 02:00:00, 349, 0
HCEP03730715,06/30/2024 03:00:00,  19.7377,  43411.5,    0.783,  6.949,8.04,11.728,2412.213,0.09,4.79,  31.5326, 1516.878,  48517.8,    91.60, 30 Jun 2024, 03:00:00, 350, 0
HCEP03730715,06/30/2024 04:00:00,  19.7543,  43428.3,    0.782,  6.953,8.04,11.682,2403.813,0.07,7.24,  31.5338, 1516.926,  48518.6,    91.69, 30 Jun 2024, 04:00:00, 351, 0
HCEP03730715,06/30/2024 05:00:00,  19.7710,  43445.1,    0.783,  6.946,8.04,11.590,2407.496,0.08,4.34,  31.5348, 1516.974,  48519.2,    91.62, 30 Jun 2024, 05:00:00, 352, 0
HCEP03730715,06/30/2024 06:00:00,  19.7883,  43462.4,    0.786,  6.944,8.04,11.557,2400.869,0.07,7.28,  31.5359, 1517.024,  48519.9,    91.64, 30 Jun 2024, 06:00:00, 353, 0
HCEP03730715,06/30/2024 07:00:00,  19.8052,  43479.2,    0.787,  6.933,8.04,11.474,2406.507,0.08,4.47,  31.5368, 1517.073,  48520.3,    91.51, 30 Jun 2024, 07:00:00, 354, 0
HCEP03730715,06/30/2024 08:00:00,  19.8235,  43497.6,    0.791,  6.934,8.04,11.425,2395.935,0.07,7.82,  31.5379, 1517.126,  48520.9,    91.56, 30 Jun 2024, 08:00:00, 355, 0
HCEP03730715,06/30/2024 09:00:00,  19.8415,  43515.6,    0.794,  6.931,8.04,11.348,2400.011,0.08,4.73,  31.5390, 1517.178,  48521.6,    91.55, 30 Jun 2024, 09:00:00, 356, 0
HCEP03730715,06/30/2024 10:00:00,  19.8596,  43533.2,    0.797,  6.930,8.04,11.312,2395.594,0.07,7.75,  31.5397, 1517.229,  48521.6,    91.56, 30 Jun 2024, 10:00:00, 357, 0
HCEP03730715,06/30/2024 11:00:00,  19.8784,  43552.2,    0.801,  6.921,8.04,11.223,2398.645,0.08,4.54,  31.5409, 1517.284,  48522.5,    91.48, 30 Jun 2024, 11:00:00, 358, 0
HCEP03730715,06/30/2024 12:00:00,  19.8970,  43569.8,    0.805,  6.925,8.04,11.203,2391.744,0.07,7.40,  31.5412, 1517.336,  48522.0,    91.56, 30 Jun 2024, 12:00:00, 359, 0
HCEP03730715,06/30/2024 13:00:00,  19.9136,  43586.9,    0.807,  6.927,8.04,11.125,2397.734,0.07,4.60,  31.5426, 1517.384,  48523.0,    91.62, 30 Jun 2024, 13:00:00, 360, 0
HCEP03730715,06/30/2024 14:00:00,  19.9331,  43606.7,    0.809,  6.919,8.04,11.094,2388.503,0.07,6.82,  31.5440, 1517.441,  48524.1,    91.55, 30 Jun 2024, 14:00:00, 361, 0
HCEP03730715,06/30/2024 15:00:00,  19.9510,  43624.5,    0.810,  6.923,8.04,11.026,2394.016,0.07,4.41,  31.5450, 1517.492,  48524.6,    91.63, 30 Jun 2024, 15:00:00, 362, 0
HCEP03730715,06/30/2024 16:00:00,  19.9701,  43643.5,    0.809,  6.919,8.04,11.007,2388.522,0.07,7.16,  31.5460, 1517.546,  48525.0,    91.62, 30 Jun 2024, 16:00:00, 363, 0
HCEP03730715,06/30/2024 17:00:00,  19.9911,  43664.1,    0.807,  6.916,8.04,10.933,2389.751,0.07,4.85,  31.5469, 1517.606,  48525.4,    91.61, 30 Jun 2024, 17:00:00, 364, 0
HCEP03730715,06/30/2024 18:00:00,  20.0108,  43684.0,    0.805,  6.913,8.04,10.911,2385.551,0.07,8.15,  31.5482, 1517.663,  48526.2,    91.60, 30 Jun 2024, 18:00:00, 365, 0
HCEP03730715,06/30/2024 19:00:00,  20.0314,  43704.3,    0.803,  6.902,8.04,10.841,2389.884,0.07,4.85,  31.5491, 1517.721,  48526.5,    91.50, 30 Jun 2024, 19:00:00, 366, 0
HCEP03730715,06/30/2024 20:00:00,  20.0519,  43724.8,    0.802,  6.902,8.04,10.818,2383.524,0.07,7.90,  31.5503, 1517.780,  48527.2,    91.53, 30 Jun 2024, 20:00:00, 367, 0
HCEP03730715,06/30/2024 21:00:00,  20.0727,  43745.5,    0.800,  6.898,8.04,10.747,2385.395,0.07,4.67,  31.5514, 1517.839,  48527.7,    91.52, 30 Jun 2024, 21:00:00, 368, 0
HCEP03730715,06/30/2024 22:00:00,  20.0896,  43762.9,    0.802,  6.894,8.04,10.740,2379.269,0.07,8.37,  31.5528, 1517.888,  48528.9,    91.49, 30 Jun 2024, 22:00:00, 369, 0
HCEP03730715,06/30/2024 23:00:00,  20.0994,  43774.1,    0.801,  6.894,8.04,10.669,2384.845,0.07,4.60,  31.5544, 1517.917,  48530.6,    91.50, 30 Jun 2024, 23:00:00, 370, 0
HCEP03730715,07/01/2024 00:00:00,  20.1065,  43781.8,    0.800,  6.884,8.04,10.662,2381.198,0.07,8.33,  31.5554, 1517.938,  48531.6,    91.38, 01 Jul 2024, 00:00:00, 371, 0
HCEP03730715,07/01/2024 01:00:00,  20.1093,  43787.0,    0.800,  6.888,8.04,10.599,2383.427,0.07,4.20,  31.5575, 1517.948,  48534.4,    91.44, 01 Jul 2024, 01:00:00, 372, 0
HCEP03730715,07/01/2024 02:00:00,  20.1119,  43791.1,    0.802,  6.873,8.04,10.597,2381.083,0.06,7.75,  31.5588, 1517.957,  48536.1,    91.25, 01 Jul 2024, 02:00:00, 373, 0
HCEP03730715,07/01/2024 03:00:00,  20.1133,  43794.1,    0.802,  6.870,8.04,10.531,2384.505,0.07,4.47,  31.5602, 1517.962,  48537.9,    91.21, 01 Jul 2024, 03:00:00, 374, 0
HCEP03730715,07/01/2024 04:00:00,  20.1142,  43796.9,    0.803,  6.875,8.04,10.529,2379.551,0.06,6.90,  31.5618, 1517.967,  48540.1,    91.28, 01 Jul 2024, 04:00:00, 375, 0
HCEP03730715,07/01/2024 05:00:00,  20.1120,  43796.5,    0.804,  6.870,8.04,10.466,2384.373,0.07,4.34,  31.5631, 1517.962,  48542.1,    91.21, 01 Jul 2024, 05:00:00, 376, 0
HCEP03730715,07/01/2024 06:00:00,  20.1089,  43795.5,    0.805,  6.875,8.04,10.453,2378.002,0.06,7.90,  31.5646, 1517.955,  48544.2,    91.28, 01 Jul 2024, 06:00:00, 377, 0
HCEP03730715,07/01/2024 07:00:00,  20.1061,  43794.9,    0.807,  6.875,8.04,10.399,2384.865,0.06,4.54,  31.5662, 1517.949,  48546.6,    91.27, 01 Jul 2024, 07:00:00, 378, 0
HCEP03730715,07/01/2024 08:00:00,  20.1022,  43793.1,    0.809,  6.865,8.04,10.411,2376.905,0.06,7.32,  31.5677, 1517.940,  48548.8,    91.14, 01 Jul 2024, 08:00:00, 379, 0
HCEP03730715,07/01/2024 09:00:00,  20.1044,  43796.6,    0.814,  6.878,8.04,10.361,2381.818,0.06,4.54,  31.5688, 1517.947,  48550.3,    91.31, 01 Jul 2024, 09:00:00, 380, 0
HCEP03730715,07/01/2024 10:00:00,  20.1094,  43803.4,    0.817,  6.882,8.04,10.367,2374.052,0.06,7.32,  31.5706, 1517.963,  48552.4,    91.38, 01 Jul 2024, 10:00:00, 381, 0
HCEP03730715,07/01/2024 11:00:00,  20.1160,  43811.9,    0.818,  6.875,8.04,10.310,2377.997,0.07,3.91,  31.5724, 1517.984,  48554.7,    91.29, 01 Jul 2024, 11:00:00, 382, 0
HCEP03730715,07/01/2024 12:00:00,  20.1329,  43828.5,    0.821,  6.877,8.04,11.166,1676.495,0.15,3.68,  31.5732, 1518.032,  48555.0,    91.35, 01 Jul 2024, 12:00:00, 383, 0
HCEP03730715,07/01/2024 13:00:00,  20.1565,  43851.9,    0.820,  6.821,8.04,10.843,1669.643,0.10,4.82,  31.5743, 1518.099,  48555.4,    90.64, 01 Jul 2024, 13:00:00, 384, 0
HCEP03730715,07/01/2024 14:00:00,  20.1777,  43873.2,    0.821,  6.832,8.04,10.698,1667.297,0.09,3.99,  31.5756, 1518.160,  48556.2,    90.82, 01 Jul 2024, 14:00:00, 385, 0
HCEP03730715,07/01/2024 15:00:00,  20.2054,  43900.7,    0.819,  6.812,8.04,10.566,1663.472,0.08,3.56,  31.5771, 1518.238,  48556.9,    90.61, 01 Jul 2024, 15:00:00, 386, 0
HCEP03730715,07/01/2024 16:00:00,  20.2317,  43926.6,    0.818,  6.797,8.04,10.494,1662.803,0.07,3.02,  31.5781, 1518.313,  48557.2,    90.45, 01 Jul 2024, 16:00:00, 387, 0
HCEP03730715,07/01/2024 17:00:00,  20.2576,  43952.4,    0.815,  6.794,8.04,10.397,1657.410,0.07,4.63,  31.5795, 1518.386,  48558.0,    90.46, 01 Jul 2024, 17:00:00, 388, 0
HCEP03730715,07/01/2024 18:00:00,  20.2791,  43974.0,    0.816,  6.781,8.04,10.346,1653.024,0.07,3.07,  31.5808, 1518.447,  48558.8,    90.32, 01 Jul 2024, 18:00:00, 389, 0
HCEP03730715,07/01/2024 19:00:00,  20.2962,  43992.3,    0.815,  6.790,8.04,10.211,1645.048,0.08,4.73,  31.5827, 1518.497,  48560.6,    90.47, 01 Jul 2024, 19:00:00, 390, 0
